,date,admits
0,06/13/20,70.0
1,06/14/20,84.0
2,06/15/20,103.0
3,06/16/20,120.0
4,06/17/20,118.0
5,06/18/20,114.0
6,06/19/20,114.0
7,06/20/20,112.0
8,06/21/20,109.0
9,06/22/20,105.0
10,06/23/20,104.0
11,06/24/20,102.0
12,06/25/20,98.0
13,06/26/20,97.0
14,06/27/20,97.0
15,06/28/20,99.0
16,06/29/20,99.0
17,06/30/20,100.0
18,07/01/20,99.0
19,07/02/20,101.0
20,07/03/20,103.0
21,07/04/20,103.0
22,07/05/20,104.0
23,07/06/20,106.0
24,07/07/20,103.0
25,07/08/20,105.0
26,07/09/20,104.0
27,07/10/20,103.0
28,07/11/20,103.0
29,07/12/20,104.0
30,07/13/20,104.0
31,07/14/20,106.0
32,07/15/20,105.0
33,07/16/20,109.0
34,07/17/20,110.0
35,07/18/20,112.0
36,07/19/20,114.0
37,07/20/20,116.0
38,07/21/20,114.0
39,07/22/20,116.0
40,07/23/20,115.0
41,07/24/20,116.0
42,07/25/20,117.0
43,07/26/20,114.0
44,07/27/20,113.0
45,07/28/20,113.0
46,07/29/20,114.0
47,07/30/20,115.0
48,07/31/20,120.0
49,08/01/20,121.0
50,08/02/20,124.0
51,08/03/20,127.0
52,08/04/20,128.0
53,08/05/20,126.0
54,08/06/20,127.0
55,08/07/20,126.0
56,08/08/20,125.0
57,08/09/20,129.0
58,08/10/20,129.0
59,08/11/20,129.0
60,08/12/20,128.0
61,08/13/20,129.0
62,08/14/20,125.0
63,08/15/20,128.0
64,08/16/20,127.0
65,08/17/20,129.0
66,08/18/20,132.0
67,08/19/20,132.0
68,08/20/20,132.0
69,08/21/20,133.0
70,08/22/20,134.0
71,08/23/20,135.0
72,08/24/20,134.0
73,08/25/20,135.0
74,08/26/20,139.0
75,08/27/20,141.0
76,08/28/20,141.0
77,08/29/20,141.0
78,08/30/20,141.0
79,08/31/20,145.0
80,09/01/20,138.0
81,09/02/20,138.0
82,09/03/20,133.0
83,09/04/20,133.0
84,09/05/20,132.0
85,09/06/20,126.0
86,09/07/20,124.0
87,09/08/20,126.0
88,09/09/20,121.0
89,09/10/20,117.0
90,09/11/20,114.0
91,09/12/20,115.0
92,09/13/20,114.0
93,09/14/20,112.0
94,09/15/20,108.0
95,09/16/20,109.0
96,09/17/20,113.0
97,09/18/20,107.0
98,09/19/20,103.0
99,09/20/20,101.0
100,09/21/20,101.0
101,09/22/20,102.0
102,09/23/20,104.0
103,09/24/20,103.0
104,09/25/20,104.0
105,09/26/20,110.0
106,09/27/20,115.0
107,09/28/20,116.0
108,09/29/20,112.0
109,09/30/20,114.0
110,10/01/20,114.0
111,10/02/20,109.0
112,10/03/20,114.0
113,10/04/20,116.0
114,10/05/20,123.0
115,10/06/20,131.0
116,10/07/20,135.0
117,10/08/20,141.0
118,10/09/20,148.0
119,10/10/20,148.0
120,10/11/20,157.0
121,10/12/20,157.0
122,10/13/20,154.0
123,10/14/20,157.0
124,10/15/20,166.0
125,10/16/20,167.0
126,10/17/20,169.0
127,10/18/20,176.0
128,10/19/20,175.0
129,10/20/20,189.0
130,10/21/20,202.0
131,10/22/20,207.0
132,10/23/20,208.0
133,10/24/20,221.0
134,10/25/20,230.0
135,10/26/20,241.0
136,10/27/20,250.0
137,10/28/20,264.0
138,10/29/20,275.0
139,10/30/20,280.0
140,10/31/20,297.0
141,11/01/20,309.0
142,11/02/20,334.0
143,11/03/20,348.0
144,11/04/20,353.0
145,11/05/20,379.0
146,11/06/20,400.0
147,11/07/20,419.0
148,11/08/20,438.0
149,11/09/20,459.0
150,11/10/20,467.0
151,11/11/20,491.0
152,11/12/20,492.0
153,11/13/20,487.0
154,11/14/20,502.0
155,11/15/20,518.0
156,11/16/20,532.0
157,11/17/20,536.0
158,11/18/20,540.0
159,11/19/20,519.0
160,11/20/20,524.0
161,11/21/20,518.0
162,11/22/20,512.0
163,11/23/20,493.0
164,11/24/20,482.0
165,11/25/20,476.0
166,11/26/20,449.0
167,11/27/20,439.0
168,11/28/20,448.0
169,11/29/20,452.0
170,11/30/20,439.0
171,12/01/20,432.0
172,12/02/20,419.0
173,12/03/20,441.0
174,12/04/20,429.0
175,12/05/20,431.0
176,12/06/20,441.0
177,12/07/20,445.0
178,12/08/20,435.0
179,12/09/20,438.0
180,12/10/20,426.0
181,12/11/20,417.0
182,12/12/20,430.0
183,12/13/20,433.0
184,12/14/20,421.0
185,12/15/20,418.0
186,12/16/20,408.0
187,12/17/20,399.0
188,12/18/20,383.0
189,12/19/20,396.0
190,12/20/20,387.0
191,12/21/20,364.0
192,12/22/20,393.0
193,12/23/20,389.0
194,12/24/20,369.0
195,12/25/20,341.0
196,12/26/20,339.0
197,12/27/20,342.0
198,12/28/20,341.0
199,12/29/20,331.0
200,12/30/20,313.0
201,12/31/20,305.0
202,01/01/21,295.0
203,01/02/21,313.0
204,01/03/21,309.0
205,01/04/21,309.0
206,01/05/21,314.0
207,01/06/21,317.0
208,01/07/21,312.0
209,01/08/21,318.0
210,01/09/21,319.0
211,01/10/21,318.0
212,01/11/21,317.0
213,01/12/21,313.0
214,01/13/21,316.0
215,01/14/21,310.0
216,01/15/21,299.0
217,01/16/21,298.0
218,01/17/21,286.0
219,01/18/21,280.0
220,01/19/21,275.0
221,01/20/21,267.0
222,01/21/21,260.0
223,01/22/21,252.0
224,01/23/21,252.0
225,01/24/21,248.0
226,01/25/21,238.0
227,01/26/21,229.0
228,01/27/21,227.0
229,01/28/21,216.0
230,01/29/21,208.0
231,01/30/21,206.0
232,01/31/21,201.0
233,02/01/21,196.0
234,02/02/21,196.0
235,02/03/21,195.0
236,02/04/21,187.0
237,02/05/21,184.0
238,02/06/21,184.0
239,02/07/21,185.0
240,02/08/21,180.0
241,02/09/21,167.0
242,02/10/21,156.0
243,02/11/21,163.0
244,02/12/21,155.0
245,02/13/21,149.0
246,02/14/21,147.0
247,02/15/21,144.0
248,02/16/21,144.0
249,02/17/21,138.0
250,02/18/21,139.0
251,02/19/21,133.0
252,02/20/21,134.0
253,02/21/21,138.0
254,02/22/21,135.0
255,02/23/21,131.0
256,02/24/21,135.0
257,02/25/21,124.0
258,02/26/21,122.0
259,02/27/21,122.0
260,02/28/21,116.0
261,03/01/21,117.0
262,03/02/21,116.0
263,03/03/21,115.0
264,03/04/21,113.0
265,03/05/21,110.0
266,03/06/21,111.0
267,03/07/21,115.0
268,03/08/21,115.0
269,03/09/21,116.0
270,03/10/21,117.0
271,03/11/21,116.0
272,03/12/21,115.0
273,03/13/21,117.0
274,03/14/21,120.0
275,03/15/21,121.0
276,03/16/21,123.0
277,03/17/21,125.0
278,03/18/21,126.0
279,03/19/21,131.0
280,03/20/21,135.0
281,03/21/21,140.0
282,03/22/21,143.0
283,03/23/21,148.0
284,03/24/21,155.0
285,03/25/21,158.0
286,03/26/21,159.0
287,03/27/21,163.0
288,03/28/21,168.0
289,03/29/21,171.0
290,03/30/21,177.0
291,03/31/21,183.0
292,04/01/21,181.0
293,04/02/21,183.0
294,04/03/21,197.0
295,04/04/21,202.0
296,04/05/21,209.0
297,04/06/21,220.0
298,04/07/21,226.0
299,04/08/21,234.0
300,04/09/21,238.0
301,04/10/21,245.0
302,04/11/21,254.0
303,04/12/21,263.0
304,04/13/21,264.0
305,04/14/21,265.0
306,04/15/21,264.0
307,04/16/21,271.0
308,04/17/21,270.0
309,04/18/21,274.0
310,04/19/21,270.0
311,04/20/21,267.0
312,04/21/21,267.0
313,04/22/21,258.0
314,04/23/21,247.0
315,04/24/21,249.0
316,04/25/21,246.0
317,04/26/21,251.0
318,04/27/21,250.0
319,04/28/21,244.0
320,04/29/21,240.0
321,04/30/21,243.0
322,05/01/21,243.0
323,05/02/21,244.0
324,05/03/21,245.0
325,05/04/21,242.0
326,05/05/21,242.0
327,05/06/21,242.0
328,05/07/21,236.0
329,05/08/21,235.0
330,05/09/21,229.0
331,05/10/21,220.0
332,05/11/21,209.0
333,05/12/21,202.0
334,05/13/21,189.0
335,05/14/21,178.0
336,05/15/21,174.0
337,05/16/21,169.0
338,05/17/21,163.0
339,05/18/21,167.0
340,05/19/21,161.0
341,05/20/21,162.0
342,05/21/21,153.0
343,05/22/21,154.0
344,05/23/21,155.0
345,05/24/21,151.0
346,05/25/21,148.0
347,05/26/21,148.0
348,05/27/21,139.0
349,05/28/21,125.0
350,05/29/21,118.0
351,05/30/21,111.0
352,05/31/21,108.0
353,06/01/21,110.0
354,06/02/21,107.0
355,06/03/21,101.0
356,06/04/21,98.0
357,06/05/21,98.0
358,06/06/21,100.0
359,06/07/21,100.0
360,06/08/21,90.0
361,06/09/21,88.0
362,06/10/21,86.0
363,06/11/21,85.0
364,06/12/21,86.0
365,06/13/21,82.0
366,06/14/21,80.0
367,06/15/21,77.0
368,06/16/21,76.0
369,06/17/21,72.0
370,06/18/21,65.0
371,06/19/21,64.0
372,06/20/21,64.0
373,06/21/21,62.0
374,06/22/21,61.0
375,06/23/21,61.0
376,06/24/21,58.0
377,06/25/21,58.0
378,06/26/21,61.0
379,06/27/21,59.0
380,06/28/21,61.0
381,06/29/21,62.0
382,06/30/21,63.0
383,07/01/21,62.0
384,07/02/21,61.0
385,07/03/21,61.0
386,07/04/21,60.0
387,07/05/21,62.0
388,07/06/21,61.0
389,07/07/21,61.0
