,date,hospitalized,,
232,8/29/20,732,,
233,8/30/20,726,,
234,8/31/20,725,,
235,9/1/20,723,,
236,9/2/20,719,,
237,9/3/20,720,,
238,9/4/20,715,,
239,9/5/20,718,,
240,9/6/20,717,,
241,9/7/20,713,,
242,9/8/20,707,,
243,9/9/20,703,,
244,9/10/20,705,,
245,9/11/20,707,,
246,9/12/20,697,,
247,9/13/20,688,,
248,9/14/20,687,,
249,9/15/20,694,,
250,9/16/20,692,,
251,9/17/20,682,,
252,9/18/20,682,,
253,9/19/20,685,,
254,9/20/20,689,,
255,9/21/20,682,,
256,9/22/20,679,,
257,9/23/20,692,,
258,9/24/20,701,,
259,9/25/20,705,,
260,9/26/20,707,,
261,9/27/20,702,,
262,9/28/20,708,,
263,9/29/20,716,,
264,9/30/20,707,,
265,10/1/20,709,,
266,10/2/20,702,,
267,10/3/20,712,,
268,10/4/20,731,,
269,10/5/20,743,,
270,10/6/20,743,,
271,10/7/20,758,,
272,10/8/20,771,,
273,10/9/20,791,,
274,10/10/20,804,,
275,10/11/20,814,,
276,10/12/20,828,,
277,10/13/20,851,,
278,10/14/20,856,,
279,10/15/20,861,,
280,10/16/20,878,,
281,10/17/20,893,,
282,10/18/20,912,,
283,10/19/20,932,,
284,10/20/20,947,,
285,10/21/20,989,,
286,10/22/20,1028,,
287,10/23/20,1058,,
288,10/24/20,1093,,
289,10/25/20,1128,,
290,10/26/20,1162,,
291,10/27/20,1211,,
292,10/28/20,1252,,
293,10/29/20,1295,,
294,10/30/20,1343,,
295,10/31/20,1400,,
296,11/1/20,1456,,
297,11/2/20,1512,,
298,11/3/20,1562,,
299,11/4/20,1610,,
300,11/5/20,1677,,
301,11/6/20,1750,,
302,11/7/20,1823,,
303,11/8/20,1882,,
304,11/9/20,1960,,
305,11/10/20,2049,,
306,11/11/20,2140,,
307,11/12/20,2215,,
308,11/13/20,2287,,
309,11/14/20,2357,,
310,11/15/20,2439,,
311,11/16/20,2515,,
312,11/17/20,2575,,
313,11/18/20,2627,,
314,11/19/20,2683,,
315,11/20/20,2738,,
316,11/21/20,2780,,
317,11/22/20,2832,,
318,11/23/20,2863,,
319,11/24/20,2891,,
320,11/25/20,2901,,
321,11/26/20,2899,,
322,11/27/20,2879,,
323,11/28/20,2875,,
324,11/29/20,2859,,
325,11/30/20,2836,,
326,12/1/20,2821,,
327,12/2/20,2806,,
328,12/3/20,2781,,
329,12/4/20,2768,,
330,12/5/20,2726,,
331,12/6/20,2683,,
332,12/7/20,2648,,
333,12/8/20,2618,,
334,12/9/20,2580,,
335,12/10/20,2561,,
336,12/11/20,2528,,
337,12/12/20,2524,,
338,12/13/20,2508,,
339,12/14/20,2492,,
340,12/15/20,2465,,
341,12/16/20,2447,,
342,12/17/20,2419,,
343,12/18/20,2391,,
344,12/19/20,2340,,
345,12/20/20,2307,,
346,12/21/20,2280,,
347,12/22/20,2261,,
348,12/23/20,2233,,
349,12/24/20,2202,,
350,12/25/20,2163,,
351,12/26/20,2145,,
352,12/27/20,2133,,
353,12/28/20,2112,,
354,12/29/20,2088,,
355,12/30/20,2070,,
356,12/31/20,2056,,
357,1/1/21,2044,,
358,1/2/21,2017,,
359,1/3/21,1993,,
360,1/4/21,1957,,
361,1/5/21,1922,,
362,1/6/21,1896,,
363,1/7/21,1870,,
364,1/8/21,1854,,
365,1/9/21,1838,,
366,1/10/21,1810,,
367,1/11/21,1788,,
368,1/12/21,1772,,
369,1/13/21,1746,,
370,1/14/21,1723,,
371,1/15/21,1700,,
372,1/16/21,1688,,
373,1/17/21,1675,,
374,1/18/21,1664,,
375,1/19/21,1636,,
376,1/20/21,1627,,
377,1/21/21,1611,,
378,1/22/21,1599,,
379,1/23/21,1582,,
380,1/24/21,1557,,
381,1/25/21,1535,,
382,1/26/21,1515,,
383,1/27/21,1476,,
384,1/28/21,1439,,
385,1/29/21,1397,,
386,1/30/21,1350,,
387,1/31/21,1307,,
388,2/1/21,1267,,
389,2/2/21,1235,,
390,2/3/21,1204,,
391,2/4/21,1179,,
392,2/5/21,1161,,
393,2/6/21,1148,,
394,2/7/21,1133,,
395,2/8/21,1113,,
396,2/9/21,1089,,
397,2/10/21,1070,,
398,2/11/21,1052,,
399,2/12/21,1030,,
400,2/13/21,1003,,
401,2/14/21,979,,
402,2/15/21,954,,
403,2/16/21,927,,
404,2/17/21,902,,
405,2/18/21,870,,
406,2/19/21,844,,
407,2/20/21,822,,
408,2/21/21,800,,
409,2/22/21,778,,
410,2/23/21,762,,
411,2/24/21,747,,
412,2/25/21,739,,
413,2/26/21,721,,
414,2/27/21,705,,
415,2/28/21,692,,
416,3/1/21,677,,
417,3/2/21,668,,
418,3/3/21,654,,
419,3/4/21,642,,
420,3/5/21,642,,
421,3/6/21,645,,
422,3/7/21,642,,
423,3/8/21,644,,
424,3/9/21,635,,
425,3/10/21,630,,
426,3/11/21,626,,
427,3/12/21,619,,
428,3/13/21,617,,
429,3/14/21,612,,
430,3/15/21,609,,
431,3/16/21,611,,
432,3/17/21,614,,
433,3/18/21,615,,
434,3/19/21,621,,
435,3/20/21,621,,
436,3/21/21,628,,
437,3/22/21,642,,
438,3/23/21,657,,
439,3/24/21,675,,
440,3/25/21,692,,
441,3/26/21,705,,
442,3/27/21,719,,
443,3/28/21,737,,
444,3/29/21,744,,
445,3/30/21,753,,
446,3/31/21,762,,
447,4/1/21,769,,
448,4/2/21,774,,
449,4/3/21,784,,
450,4/4/21,795,,
451,4/5/21,809,,
452,4/6/21,825,,
453,4/7/21,849,,
454,4/8/21,873,,
455,4/9/21,898,,
456,4/10/21,926,,
457,4/11/21,958,,
458,4/12/21,988,,
459,4/13/21,1016,,
