,PY,ToIHT
297,3817.0,111.0
298,3767.0,81.0
299,3651.0,86.0
300,3467.0,71.0
301,3334.0,67.0
302,3158.0,78.0
303,3035.0,85.0
304,3027.0,64.0
305,2980.0,65.0
306,2871.0,68.0
307,2693.0,78.0
308,2522.0,60.0
309,2472.0,66.0
310,2428.0,65.0
311,2322.0,59.0
312,2300.0,47.0
313,2176.0,56.0
314,2066.0,48.0
315,2014.0,51.0
316,1924.0,37.0
317,1830.0,33.0
318,1796.0,47.0
319,1751.0,42.0
320,1672.0,38.0
321,1604.0,38.0
322,1476.0,33.0
323,1359.0,43.0
324,1299.0,39.0
325,1304.0,34.0
326,1263.0,33.0
327,1210.0,26.0
328,1163.0,41.0
329,1121.0,26.0
330,1103.0,31.0
331,1097.0,29.0
332,1052.0,24.0
333,1045.0,28.0
334,1017.0,21.0
335,934.0,25.0
336,1.0,0.0
337,1.0,0.0
338,2.0,0.0
339,3.0,0.0
340,0.0,0.0
341,1.0,0.0
342,2.0,0.0
343,6.0,0.0
344,4.0,0.0
345,5.0,0.0
346,10.0,1.0
347,12.0,0.0
348,21.0,0.0
349,25.0,0.0
350,31.0,1.0
351,48.0,3.0
352,59.0,4.0
353,101.0,4.0
354,138.0,3.0
355,164.0,2.0
356,203.0,8.0
357,256.0,11.0
358,353.0,9.0
359,481.0,10.0
360,662.0,29.0
361,901.0,25.0
362,1194.0,27.0
363,1493.0,42.0
364,1820.0,54.0
365,2107.0,61.0
366,2533.0,57.0
367,3088.0,77.0
368,3514.0,76.0
369,3727.0,78.0
370,3939.0,83.0
371,4100.0,97.0
372,4484.0,104.0
373,5009.0,126.0
374,5451.0,133.0
375,6108.0,139.0
376,6787.0,161.0
377,7107.0,166.0
378,7446.0,163.0
379,8217.0,193.0
380,8883.0,175.0
381,8978.0,183.0
382,8973.0,156.0
383,8792.0,193.0
384,8523.0,189.0
385,8290.0,193.0
386,8117.0,191.0
387,7959.0,163.0
388,7782.0,199.0
389,7713.0,160.0
390,7430.0,161.0
391,7183.0,156.0
392,6835.0,142.0
393,6675.0,149.0
394,6644.0,158.0
395,6640.0,167.0
396,6762.0,156.0
397,6676.0,135.0
398,6610.0,129.0
399,6428.0,147.0
400,6363.0,129.0
401,6280.0,130.0
402,6184.0,149.0
403,6173.0,144.0
404,5998.0,132.0
405,5911.0,131.0
406,5635.0,126.0
407,5602.0,113.0
408,5439.0,123.0
409,5389.0,124.0
410,5253.0,116.0
411,5113.0,115.0
412,4964.0,121.0
413,4888.0,121.0
414,4639.0,110.0
415,4548.0,129.0
416,4589.0,97.0
417,4582.0,97.0
418,4426.0,107.0
419,4206.0,98.0
420,3986.0,99.0
421,3884.0,108.0
422,3793.0,83.0
423,3750.0,91.0
424,3680.0,84.0
425,3621.0,84.0
426,3541.0,93.0
427,3396.0,96.0
428,3362.0,85.0
429,3373.0,77.0
430,3319.0,83.0
431,3274.0,77.0
432,3190.0,77.0
433,3059.0,57.0
434,2975.0,63.0
435,2800.0,50.0
436,2692.0,60.0
437,2591.0,72.0
438,2561.0,54.0
439,2570.0,67.0
440,2478.0,63.0
441,2376.0,54.0
442,2347.0,55.0
443,2321.0,50.0
444,2296.0,69.0
445,2229.0,45.0
446,2159.0,47.0
447,2110.0,44.0
448,0.0,0.0
449,0.0,0.0
450,0.0,0.0
451,0.0,0.0
452,0.0,0.0
453,1.0,0.0
454,0.0,0.0
455,2.0,0.0
456,2.0,0.0
457,4.0,0.0
458,7.0,0.0
459,7.0,1.0
460,13.0,0.0
461,15.0,1.0
462,22.0,0.0
463,32.0,1.0
464,34.0,1.0
465,67.0,0.0
466,86.0,4.0
467,112.0,4.0
468,154.0,6.0
469,207.0,12.0
470,297.0,11.0
471,474.0,11.0
472,656.0,18.0
473,974.0,24.0
474,1291.0,36.0
475,1603.0,55.0
476,2039.0,63.0
477,2556.0,49.0
478,3152.0,80.0
479,3779.0,61.0
480,4470.0,94.0
481,4688.0,92.0
482,4920.0,124.0
483,5251.0,111.0
484,5760.0,141.0
485,6560.0,157.0
486,7290.0,170.0
487,8210.0,169.0
488,8937.0,188.0
489,9453.0,211.0
490,10097.0,242.0
491,11293.0,234.0
492,12179.0,221.0
493,12239.0,226.0
494,11898.0,230.0
495,11339.0,212.0
496,10592.0,242.0
497,10055.0,198.0
498,9675.0,218.0
499,9493.0,223.0
500,9408.0,231.0
501,9248.0,189.0
502,8729.0,209.0
503,8026.0,173.0
504,7639.0,202.0
505,7571.0,183.0
506,7526.0,180.0
507,7492.0,208.0
508,7493.0,150.0
509,7184.0,179.0
510,6864.0,156.0
511,6484.0,150.0
512,6338.0,149.0
513,6311.0,145.0
514,6256.0,119.0
515,6257.0,161.0
516,6116.0,121.0
517,5601.0,131.0
518,5308.0,121.0
519,5157.0,112.0
520,5080.0,128.0
521,5026.0,91.0
522,5040.0,99.0
523,4907.0,116.0
524,4584.0,90.0
525,4331.0,106.0
526,4258.0,85.0
527,4187.0,103.0
528,4118.0,98.0
529,4125.0,92.0
530,3933.0,89.0
531,3577.0,95.0
532,3370.0,104.0
533,3314.0,73.0
