,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14,SMA15,SMA_ratio15,SMA16,SMA_ratio16,SMA17,SMA_ratio17,SMA18,SMA_ratio18,SMA19,SMA_ratio19
0,2020-06-13,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-06-14,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-06-15,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-06-16,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-06-17,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-06-18,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-06-19,68.0,423.0,0.37305662154208363,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-06-20,66.0,449.0,0.4082320023478648,489.0,0.4446001094612603,,,,,,,,,,,,,,,,,,,,,,
8,2020-06-21,63.0,464.0,0.4291503997025469,512.0,0.4735452686372932,552.0,0.5105409927495816,,,,,,,,,,,,,,,,,,,,
9,2020-06-22,61.0,466.0,0.4290358213002366,525.0,0.48335580725885025,573.0,0.5275483382082308,613.0,0.5643754473327146,,,,,,,,,,,,,,,,,,
10,2020-06-23,57.0,452.0,0.42591389230655896,523.0,0.4928162957440937,582.0,0.5484112507133126,630.0,0.5936410445865755,670.0,0.6313325394809614,,,,,,,,,,,,,,,,
11,2020-06-24,56.0,439.0,0.4132263884170291,508.0,0.47817541074225683,579.0,0.5450070134247377,638.0,0.6005431339637005,686.0,0.6457250625377721,726.0,0.6833766696828316,,,,,,,,,,,,,,
12,2020-06-25,55.0,426.0,0.43302480111608743,494.0,0.502146130871707,563.0,0.5722839507707916,634.0,0.6444547509568062,693.0,0.7044276694212409,741.0,0.7532191963075605,781.0,0.7938788020461603,,,,,,,,,,,,
13,2020-06-26,52.0,410.0,0.4225101929053019,478.0,0.49258505416764464,546.0,0.5626599154299874,615.0,0.6337652893579528,686.0,0.7069316886171636,745.0,0.7677319358889022,793.0,0.8171965438387913,833.0,0.8584170504636988,,,,,,,,,,
14,2020-06-27,52.0,396.0,0.4177919429681605,462.0,0.48742393346285395,530.0,0.5591659842755684,598.0,0.6309080350882827,667.0,0.7037051160600077,738.0,0.7786122573497537,797.0,0.8408590367313735,845.0,0.8915004843638779,885.0,0.9337016907242981,,,,,,,,
15,2020-06-28,53.0,386.0,0.3989470628753313,449.0,0.464060184536331,515.0,0.5322739310383306,583.0,0.6025547607676637,651.0,0.6728355904969966,720.0,0.7441499618399963,791.0,0.8175314164103292,850.0,0.8785103716166622,898.0,0.928120369072662,938.0,0.9694620336193285,,,,,,
16,2020-06-29,52.0,377.0,0.3773134076325565,438.0,0.4383641181513521,501.0,0.5014164913101082,567.0,0.5674713584288051,635.0,0.6355278881874625,703.0,0.7035844179461199,772.0,0.7726417790247576,843.0,0.8437008027433558,902.0,0.9027498506221909,950.0,0.9507897539812432,990.0,0.9908230067804534,,,,
17,2020-06-30,53.0,373.0,0.38784446703555364,430.0,0.44711292446457923,491.0,0.5105405718886242,554.0,0.5760478143101788,620.0,0.644674449227998,688.0,0.7153806791433268,756.0,0.7860869090586556,825.0,0.8578329364727393,896.0,0.9316585588843326,955.0,0.9930066113108679,1003.0,1.0429168912511,1043.0,1.0845087912012934,,
18,2020-07-01,52.0,369.0,0.3498374961015872,425.0,0.4029293654286573,482.0,0.4569693038508537,543.0,0.5148015186535552,606.0,0.574529871646509,672.0,0.6371024319248417,740.0,0.7015711303934269,808.0,0.766039828862012,877.0,0.8314565964257234,948.0,0.8987695021796874,1007.0,0.9547055787921364,1055.0,1.0002128953581964,1095.0,1.0381356591632465
19,2020-07-02,53.0,367.0,0.4273089626211388,422.0,0.4913470905343885,478.0,0.5565495480460609,535.0,0.6229163351561561,596.0,0.6939404406599421,659.0,0.7672932053605735,725.0,0.8441389588564732,793.0,0.9233133715492182,861.0,1.0024877842419633,930.0,1.0828265265331312,1001.0,1.1654939280211443,1060.0,1.234189374328085,1108.0,1.2900771950523755
20,2020-07-03,54.0,369.0,0.43092537823583305,421.0,0.4916519898029423,476.0,0.5558820597296925,532.0,0.6212799491096563,589.0,0.6878456579428338,650.0,0.7590826445888658,713.0,0.8326552701413251,779.0,0.9097313540534253,847.0,0.9891430768719528,915.0,1.0685547996904803,984.0,1.1491343419622215,1055.0,1.2320495231403898,1114.0,1.3009508708799946
21,2020-07-04,52.0,369.0,0.4383294606824018,421.0,0.5000994659818189,473.0,0.561869471281236,528.0,0.6272031307325424,584.0,0.6937246749011454,641.0,0.7614341037870449,702.0,0.8338950715421303,765.0,0.9087318087318087,831.0,0.9871322000733764,899.0,1.0679083608495372,967.0,1.148684521625698,1036.0,1.2306485671191554,1107.0,1.3149883820472055
22,2020-07-05,53.0,369.0,0.41418793218435185,422.0,0.47367833978806634,474.0,0.532046286870956,526.0,0.5904142339538457,581.0,0.6521495625992099,637.0,0.7150073517653988,694.0,0.7789876014524124,755.0,0.8474576932227254,818.0,0.9181727060346878,884.0,0.9922551004091248,952.0,1.0685824158252113,1020.0,1.1449097312412977,1089.0,1.2223595071782092
23,2020-07-06,51.0,368.0,0.4163578284978671,420.0,0.475190999916044,473.0,0.5351555784768781,525.0,0.593988749895055,577.0,0.6528219213132319,632.0,0.7150493141593806,688.0,0.7784081141481863,745.0,0.8428983212796495,806.0,0.9119141569817416,869.0,0.9831928069691482,935.0,1.0578656783845266,1003.0,1.1348013640852195,1071.0,1.2117370497859121
24,2020-07-07,52.0,367.0,0.3806463182550139,420.0,0.435617039964866,472.0,0.4895505782462304,525.0,0.5445212999560826,577.0,0.5984548382374468,629.0,0.6523883765188112,684.0,0.709433465085639,740.0,0.7675157370809544,797.0,0.8266351925047576,858.0,0.889903381642512,921.0,0.9552459376372419,987.0,1.023700043917435,1055.0,1.094228517054604
25,2020-07-08,52.0,367.0,0.3862128421556437,419.0,0.4409350977199311,472.0,0.4967097043527625,524.0,0.55143195991705,577.0,0.6072065665498813,629.0,0.6619288221141687,681.0,0.716651077678456,736.0,0.7745303864483755,792.0,0.8334620462868388,849.0,0.8934460571938462,910.0,0.9576394723750294,973.0,1.0239375896933007,1039.0,1.093392760217204
26,2020-07-09,51.0,365.0,0.40479180945314613,418.0,0.46356979822305505,470.0,0.521238768336928,523.0,0.5800167571068369,575.0,0.6376857272207097,628.0,0.6964637159906186,680.0,0.7541326861044915,732.0,0.8118016562183643,787.0,0.8727976823003453,843.0,0.9349027270383622,900.0,0.9981167904324152,961.0,1.0657669284506122,1024.0,1.1356351037808812
27,2020-07-10,51.0,362.0,0.4145987407353524,416.0,0.4764449617290238,469.0,0.5371458823339235,521.0,0.5967015025500514,574.0,0.6574024231549511,626.0,0.716958043371079,679.0,0.7776589639759787,731.0,0.8372145841921067,783.0,0.8967702044082346,838.0,0.9597617257906776,894.0,1.0238985475618925,951.0,1.0891806697218789,1012.0,1.159043993436952
28,2020-07-11,52.0,362.0,0.43459181983772155,414.0,0.49701937406855445,468.0,0.5618479880774964,521.0,0.6254760721973838,573.0,0.6879036264282167,626.0,0.7515317105481041,678.0,0.813959264778937,731.0,0.8775873488988244,783.0,0.9400149031296574,835.0,1.0024424573604902,890.0,1.0684716012584867,946.0,1.1357012750455375,1003.0,1.2041314787216428
29,2020-07-12,51.0,360.0,0.4260949316654387,413.0,0.48882557438285057,465.0,0.5503726200678584,519.0,0.6142868598176742,572.0,0.677017502535086,624.0,0.7385645482200938,677.0,0.8012951909375057,729.0,0.8628422366225135,782.0,0.9255728793399253,834.0,0.9871199250249331,886.0,1.048666970709941,941.0,1.1137648074921607,997.0,1.1800462413067845
