,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14
0,2020-06-13,70.0,,,,,,,,,,,,,,,,
1,2020-06-14,84.0,,,,,,,,,,,,,,,,
2,2020-06-15,103.0,,,,,,,,,,,,,,,,
3,2020-06-16,120.0,,,,,,,,,,,,,,,,
4,2020-06-17,118.0,,,,,,,,,,,,,,,,
5,2020-06-18,114.0,,,,,,,,,,,,,,,,
6,2020-06-19,114.0,723.0,0.4255444379046498,,,,,,,,,,,,,,
7,2020-06-20,112.0,765.0,0.4641990291262136,835.0,0.5066747572815534,,,,,,,,,,,,
8,2020-06-21,109.0,790.0,0.48466257668711654,874.0,0.5361963190184049,944.0,0.5791411042944785,,,,,,,,,,
9,2020-06-22,105.0,792.0,0.4802910855063675,895.0,0.5427531837477259,979.0,0.5936931473620376,1049.0,0.6361431170406306,,,,,,,,
10,2020-06-23,104.0,776.0,0.48079306071871125,896.0,0.5551425030978935,999.0,0.6189591078066915,1083.0,0.671003717472119,1153.0,0.7143742255266419,,,,,,
11,2020-06-24,102.0,760.0,0.46740467404674046,878.0,0.5399753997539976,998.0,0.6137761377613776,1101.0,0.6771217712177122,1185.0,0.7287822878228782,1255.0,0.7718327183271833,,,,
12,2020-06-25,98.0,744.0,0.49076517150395776,858.0,0.5659630606860159,976.0,0.6437994722955145,1096.0,0.7229551451187335,1199.0,0.7908970976253298,1283.0,0.8463060686015831,1353.0,0.8924802110817942,,
13,2020-06-26,97.0,727.0,0.48531375166889185,841.0,0.5614152202937249,955.0,0.6375166889185581,1073.0,0.7162883845126836,1193.0,0.7963951935914553,1296.0,0.8651535380507344,1380.0,0.9212283044058746,1450.0,0.9679572763684913
14,2020-06-27,97.0,712.0,0.48633879781420764,824.0,0.5628415300546448,938.0,0.6407103825136612,1052.0,0.7185792349726776,1170.0,0.7991803278688525,1290.0,0.8811475409836066,1393.0,0.9515027322404371,1477.0,1.008879781420765
15,2020-06-28,99.0,702.0,0.46768820786142573,811.0,0.5403064623584277,923.0,0.6149233844103931,1037.0,0.6908727514990006,1151.0,0.7668221185876083,1269.0,0.8454363757495004,1389.0,0.9253830779480346,1492.0,0.9940039973351099
16,2020-06-29,99.0,696.0,0.4461538461538462,801.0,0.5134615384615384,910.0,0.5833333333333334,1022.0,0.6551282051282051,1136.0,0.7282051282051282,1250.0,0.8012820512820513,1368.0,0.8769230769230769,1488.0,0.9538461538461539
17,2020-06-30,100.0,692.0,0.45797485109199204,796.0,0.5268034414295168,901.0,0.5962938451356717,1010.0,0.6684315023163467,1122.0,0.7425545996029119,1236.0,0.8180013236267373,1350.0,0.8934480476505625,1468.0,0.971542025148908
18,2020-07-01,99.0,689.0,0.41732283464566927,791.0,0.4791035735917626,895.0,0.5420956995760146,1000.0,0.6056935190793459,1109.0,0.6717141126589945,1221.0,0.7395517867958813,1335.0,0.8086008479709267,1449.0,0.8776499091459722
19,2020-07-02,101.0,692.0,0.5129725722757599,790.0,0.5856189770200149,892.0,0.6612305411415864,996.0,0.7383246849518161,1101.0,0.816160118606375,1210.0,0.8969607116382505,1322.0,0.9799851742031134,1436.0,1.0644922164566346
20,2020-07-03,103.0,698.0,0.5185735512630015,795.0,0.5906389301634473,893.0,0.663447251114413,995.0,0.7392273402674592,1099.0,0.8164933135215453,1204.0,0.8945022288261516,1313.0,0.975482912332838,1425.0,1.0586924219910847
21,2020-07-04,103.0,704.0,0.530920060331825,801.0,0.6040723981900452,898.0,0.6772247360482655,996.0,0.751131221719457,1098.0,0.8280542986425339,1202.0,0.9064856711915535,1307.0,0.9856711915535445,1416.0,1.0678733031674208
22,2020-07-05,104.0,709.0,0.5082437275985663,808.0,0.5792114695340502,905.0,0.6487455197132617,1002.0,0.7182795698924731,1100.0,0.7885304659498208,1202.0,0.8616487455197133,1306.0,0.9362007168458781,1411.0,1.0114695340501791
23,2020-07-06,106.0,716.0,0.5169675090252708,815.0,0.5884476534296029,914.0,0.6599277978339351,1011.0,0.7299638989169676,1108.0,0.8,1206.0,0.8707581227436824,1308.0,0.9444043321299639,1412.0,1.0194945848375452
24,2020-07-07,103.0,719.0,0.4736495388669302,819.0,0.5395256916996047,918.0,0.6047430830039525,1017.0,0.6699604743083004,1114.0,0.7338603425559947,1211.0,0.7977602108036891,1309.0,0.8623188405797102,1411.0,0.9295125164690382
25,2020-07-08,105.0,725.0,0.4810882548108825,824.0,0.5467816854678168,924.0,0.6131386861313869,1023.0,0.6788321167883211,1122.0,0.7445255474452555,1219.0,0.8088918380889184,1316.0,0.8732581287325812,1414.0,0.9382879893828799
26,2020-07-09,104.0,728.0,0.5069637883008357,829.0,0.5772980501392758,928.0,0.6462395543175488,1028.0,0.7158774373259053,1127.0,0.7848189415041783,1226.0,0.8537604456824512,1323.0,0.9213091922005571,1420.0,0.9888579387186629
27,2020-07-10,103.0,728.0,0.5207439198855508,831.0,0.5944206008583691,932.0,0.6666666666666666,1031.0,0.7374821173104434,1131.0,0.8090128755364807,1230.0,0.8798283261802575,1329.0,0.9506437768240343,1426.0,1.0200286123032904
28,2020-07-11,103.0,728.0,0.5424739195230999,831.0,0.6192250372578242,934.0,0.6959761549925484,1035.0,0.7712369597615499,1134.0,0.8450074515648286,1234.0,0.9195230998509687,1333.0,0.9932935916542474,1432.0,1.067064083457526
29,2020-07-12,104.0,728.0,0.5345080763582967,832.0,0.6108663729809104,935.0,0.6864904552129222,1038.0,0.762114537444934,1139.0,0.8362701908957415,1238.0,0.908957415565345,1338.0,0.9823788546255506,1437.0,1.0550660792951543
30,2020-07-13,104.0,726.0,0.5127118644067796,832.0,0.5875706214689266,936.0,0.6610169491525424,1039.0,0.7337570621468926,1142.0,0.806497175141243,1243.0,0.8778248587570622,1342.0,0.9477401129943502,1442.0,1.018361581920904
31,2020-07-14,106.0,729.0,0.5013755158184319,832.0,0.5722145804676754,938.0,0.6451169188445667,1042.0,0.7166437414030261,1145.0,0.7874828060522696,1248.0,0.8583218707015131,1349.0,0.9277854195323246,1448.0,0.9958734525447043
32,2020-07-15,105.0,729.0,0.5083682008368201,834.0,0.5815899581589958,937.0,0.6534170153417015,1043.0,0.7273361227336123,1147.0,0.799860529986053,1250.0,0.8716875871687587,1353.0,0.9435146443514645,1454.0,1.0139470013947
33,2020-07-16,109.0,734.0,0.5129280223619846,838.0,0.5856044723969253,943.0,0.6589797344514325,1046.0,0.7309573724668065,1152.0,0.8050314465408805,1256.0,0.8777078965758212,1359.0,0.949685534591195,1462.0,1.0216631726065688
34,2020-07-17,110.0,741.0,0.5448529411764705,844.0,0.6205882352941177,948.0,0.6970588235294117,1053.0,0.774264705882353,1156.0,0.85,1262.0,0.9279411764705883,1366.0,1.0044117647058823,1469.0,1.0801470588235293
35,2020-07-18,112.0,750.0,0.5530973451327433,853.0,0.6290560471976401,956.0,0.7050147492625368,1060.0,0.7817109144542773,1165.0,0.8591445427728613,1268.0,0.9351032448377581,1374.0,1.0132743362831858,1478.0,1.0899705014749264
36,2020-07-19,114.0,760.0,0.5390070921985816,864.0,0.6127659574468085,967.0,0.6858156028368795,1070.0,0.7588652482269503,1174.0,0.8326241134751773,1279.0,0.9070921985815603,1382.0,0.9801418439716312,1488.0,1.0553191489361702
37,2020-07-20,116.0,772.0,0.5266030013642565,876.0,0.597544338335607,980.0,0.6684856753069577,1083.0,0.7387448840381992,1186.0,0.8090040927694406,1290.0,0.8799454297407913,1395.0,0.951568894952251,1498.0,1.0218281036834924
38,2020-07-21,114.0,780.0,0.5357142857142857,886.0,0.6085164835164835,990.0,0.679945054945055,1094.0,0.7513736263736264,1197.0,0.8221153846153846,1300.0,0.8928571428571429,1404.0,0.9642857142857143,1509.0,1.036401098901099
39,2020-07-22,116.0,791.0,0.5369993211133741,896.0,0.6082824168363883,1002.0,0.6802443991853361,1106.0,0.7508486082824168,1210.0,0.8214528173794976,1313.0,0.891378139850645,1416.0,0.9613034623217923,1520.0,1.031907671418873
40,2020-07-23,115.0,797.0,0.5418082936777702,906.0,0.6159075458871516,1011.0,0.6872875594833446,1117.0,0.7593473827328348,1221.0,0.8300475866757308,1325.0,0.9007477906186268,1428.0,0.9707681849082257,1531.0,1.0407885791978246
41,2020-07-24,116.0,803.0,0.5584144645340751,913.0,0.6349095966620306,1022.0,0.7107093184979137,1127.0,0.7837273991655076,1233.0,0.8574408901251739,1337.0,0.9297635605006954,1441.0,1.002086230876217,1544.0,1.0737134909596662
42,2020-07-25,117.0,808.0,0.5796269727403156,920.0,0.6599713055954088,1030.0,0.7388809182209469,1139.0,0.8170731707317073,1244.0,0.8923959827833573,1350.0,0.9684361549497847,1454.0,1.043041606886657,1558.0,1.1176470588235294
43,2020-07-26,114.0,808.0,0.5702187720536345,922.0,0.6506704304869443,1034.0,0.7297106563161609,1144.0,0.8073394495412844,1253.0,0.8842625264643613,1358.0,0.958362738179252,1464.0,1.0331686661961892,1568.0,1.1065631616090332
44,2020-07-27,113.0,805.0,0.5820679681851049,921.0,0.665943600867679,1035.0,0.7483731019522777,1147.0,0.8293564714389009,1257.0,0.9088937093275488,1366.0,0.987707881417209,1471.0,1.0636297903109182,1577.0,1.1402747650036154
