date,prev
4/20/21,0.01
4/21/21,0.01
4/22/21,0.01
4/23/21,0.01
4/24/21,0.01
4/25/21,0.01
4/26/21,0.01
4/27/21,0.01
4/28/21,0.01
4/29/21,0.01
4/30/21,0.01
5/1/21,0.01
5/2/21,0.01
5/3/21,0.01
5/4/21,0.02
5/5/21,0.02
5/6/21,0.02
5/7/21,0.02
5/8/21,0.02
5/9/21,0.02
5/10/21,0.02
5/11/21,0.03
5/12/21,0.03
5/13/21,0.03
5/14/21,0.03
5/15/21,0.03
5/16/21,0.04
5/17/21,0.04
5/18/21,0.04
5/19/21,0.05
5/20/21,0.05
5/21/21,0.05
5/22/21,0.06
5/23/21,0.06
5/24/21,0.07
5/25/21,0.07
5/26/21,0.08
5/27/21,0.08
5/28/21,0.09
5/29/21,0.1
5/30/21,0.1
5/31/21,0.11
6/1/21,0.12
6/2/21,0.13
6/3/21,0.14
6/4/21,0.15
6/5/21,0.16
6/6/21,0.17
6/7/21,0.18
6/8/21,0.19
6/9/21,0.2
6/10/21,0.21
6/11/21,0.23
6/12/21,0.24
6/13/21,0.26
6/14/21,0.27
6/15/21,0.29
6/16/21,0.3
6/17/21,0.32
6/18/21,0.34
6/19/21,0.35
6/20/21,0.37
6/21/21,0.39
6/22/21,0.41
6/23/21,0.43
6/24/21,0.45
6/25/21,0.47
6/26/21,0.49
6/27/21,0.51
6/28/21,0.52
6/29/21,0.54
6/30/21,0.56
7/1/21,0.58
7/2/21,0.6
7/3/21,0.62
7/4/21,0.64
7/5/21,0.66
7/6/21,0.67
7/7/21,0.69
7/8/21,0.71
7/9/21,0.72
7/10/21,0.74
7/11/21,0.76
7/12/21,0.77
7/13/21,0.78
7/14/21,0.8
7/15/21,0.81
7/16/21,0.82
7/17/21,0.83
7/18/21,0.84
7/19/21,0.85
7/20/21,0.86
7/21/21,0.87
7/22/21,0.88
7/23/21,0.89
7/24/21,0.9
7/25/21,0.91
7/26/21,0.91
7/27/21,0.92
7/28/21,0.93
7/29/21,0.93
7/30/21,0.94
7/31/21,0.94
8/1/21,0.95
8/2/21,0.95
8/3/21,0.96
8/4/21,0.96
8/5/21,0.96
8/6/21,0.97
8/7/21,0.97
8/8/21,0.97
8/9/21,0.98
8/10/21,0.98
8/11/21,0.98
8/12/21,0.98
8/13/21,0.98
8/14/21,0.99
8/15/21,0.99
8/16/21,0.99
8/17/21,0.99
8/18/21,0.99
8/19/21,0.99
8/20/21,1
8/21/21,1
8/22/21,1
8/23/21,1
8/24/21,1
8/25/21,1
8/26/21,1
8/27/21,1
8/28/21,1
8/29/21,1
8/30/21,1
8/31/21,1
9/1/21,1
9/2/21,1
9/3/21,1
9/4/21,1
9/5/21,1
9/6/21,1
9/7/21,1
9/8/21,1
9/9/21,1
9/10/21,1
9/11/21,1
